organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,iter_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m
iAF692,7200,OPTIMAL,0.003,2019,true,OPTIMAL,0.003,8,true,1,OPTIMAL,0.0,5.12273097038269,true,1,1
iJR904,7200,OPTIMAL,0.0,1399,true,OPTIMAL,0.35,9,true,1,OPTIMAL,0.3501586248385279,3.4815239906311035,true,0,1
e_coli_core,7200,OPTIMAL,0.76,0,true,OPTIMAL,0.76,6,true,1,OPTIMAL,0.759613004445135,2.997711181640625,true,0,1
iNF517,7200,OPTIMAL,1.302,4,true,OPTIMAL,1.301,7,true,1,OPTIMAL,1.30121642243751,3.267059087753296,true,0,1
iJO1366,7200,TIME_LIMIT,0.0,7200,false,OPTIMAL,0.234,25,true,1,OPTIMAL,0.0,4.770039081573486,true,0,1
iMM904,7200,TIME_LIMIT,0.0,7200,false,OPTIMAL,0.281,45,true,6,OPTIMAL,0.2812015935014886,9.498761177062988,false,5,5
iSDY_1059,7200,OPTIMAL,0.0,7,true,OPTIMAL,0.61,25,true,1,OPTIMAL,0.0,4.20895791053772,true,0,1
iSFV_1184,7200,TIME_LIMIT,0.0,7200,false,OPTIMAL,0.141,46,true,1,OPTIMAL,0.0,4.525646924972534,true,0,1
iSF_1195,7200,TIME_LIMIT,0.0,7200,false,OPTIMAL,0.349,25,true,1,OPTIMAL,0.0,5.496258974075317,true,0,1
iS_1188,7200,TIME_LIMIT,0.0,7200,false,OPTIMAL,0.332,19,true,1,OPTIMAL,0.0,4.718499183654785,true,0,1
iSbBS512_1146,7200,TIME_LIMIT,NaN,7200,false,OPTIMAL,0.099,16,true,1,OPTIMAL,0.0,4.645843029022217,true,0,1
