organism,termination_ll_fba,time_ll_fba,termination_no_good_cuts_big_m,time_no_good_cuts_big_m
e_coli_core,OPTIMAL,0,OPTIMAL,6
iAB_RBC_283,OPTIMAL,0,TIME_LIMIT,1800
iIS312_Amastigote,OPTIMAL,0,TIME_LIMIT,1800
iIS312,OPTIMAL,0,TIME_LIMIT,1800
iIS312_Epimastigote,OPTIMAL,0,TIME_LIMIT,1800
iIS312_Trypomastigote,OPTIMAL,0,TIME_LIMIT,1800
iIT341,OPTIMAL,5,TIME_LIMIT,1800
iLJ478,OPTIMAL,9,TIME_LIMIT,1800
iAF692,OPTIMAL,0,TIME_LIMIT,1800
iSB619,OPTIMAL,0,TIME_LIMIT,1800
iNF517,OPTIMAL,9,TIME_LIMIT,1800
iHN637,OPTIMAL,4,TIME_LIMIT,1800
iJB785,OPTIMAL,15,OPTIMAL,9
iJN678,OPTIMAL,72,TIME_LIMIT,1800
iAT_PLT_636,OPTIMAL,0,TIME_LIMIT,1800
iCN718,OPTIMAL,617,TIME_LIMIT,1800
iNJ661,TIME_LIMIT,1800,TIME_LIMIT,1800
iJN746,OPTIMAL,332,ERROR,
iAM_Pb448,TIME_LIMIT,1800,TIME_LIMIT,1800
iAM_Pc455,TIME_LIMIT,1800,TIME_LIMIT,1800
iJR904,OPTIMAL,9,TIME_LIMIT,1800
iAM_Pv461,OPTIMAL,29,TIME_LIMIT,1800
iAM_Pk459,TIME_LIMIT,1800,TIME_LIMIT,1800
iAM_Pf480,TIME_LIMIT,1800,TIME_LIMIT,1800
iEK1008,OPTIMAL,473,TIME_LIMIT,1800
iCN900,OPTIMAL,0,TIME_LIMIT,1800
iYO844,TIME_LIMIT,1800,TIME_LIMIT,1800
iND750,OPTIMAL,8,OPTIMAL,6
iAF987,OPTIMAL,1376,TIME_LIMIT,1800
iYS854,TIME_LIMIT,1800,TIME_LIMIT,1800
iMM904,OPTIMAL,650,TIME_LIMIT,1800
iPC815,OPTIMAL,423,TIME_LIMIT,1800
iRC1080,OPTIMAL,373,TIME_LIMIT,1800
iYL1228,OPTIMAL,736,TIME_LIMIT,1800
iAF1260,TIME_LIMIT,1800,TIME_LIMIT,1800
iAF1260b,TIME_LIMIT,1800,TIME_LIMIT,1800
iSDY_1059,OPTIMAL,1457,TIME_LIMIT,1800
STM_v1_0,TIME_LIMIT,1800,TIME_LIMIT,1800
iJO1366,TIME_LIMIT,1800,TIME_LIMIT,1800
iSbBS512_1146,TIME_LIMIT,1800,ERROR,
iSBO_1134,OPTIMAL,1565,TIME_LIMIT,1800
iS_1188,TIME_LIMIT,1800,TIME_LIMIT,1800
iSFV_1184,OPTIMAL,1710,TIME_LIMIT,1800
iSF_1195,OPTIMAL,1584,TIME_LIMIT,1800
iSFxv_1172,OPTIMAL,966,TIME_LIMIT,1800
iSSON_1240,TIME_LIMIT,1800,TIME_LIMIT,1800
iECH74115_1262,TIME_LIMIT,1800,TIME_LIMIT,1800
iE2348C_1286,TIME_LIMIT,1800,TIME_LIMIT,1800
iG2583_1286,TIME_LIMIT,1800,TIME_LIMIT,1800
iECED1_1282,TIME_LIMIT,1800,TIME_LIMIT,1800
iML1515,TIME_LIMIT,1800,TIME_LIMIT,1800
iECSP_1301,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC042_1314,TIME_LIMIT,1800,TIME_LIMIT,1800
iECNA114_1301,TIME_LIMIT,1800,TIME_LIMIT,1800
iECs_1301,TIME_LIMIT,1800,TIME_LIMIT,1800
iZ_1308,TIME_LIMIT,1800,TIME_LIMIT,1800
iECIAI39_1322,TIME_LIMIT,1800,TIME_LIMIT,1800
iUTI89_1310,TIME_LIMIT,1800,TIME_LIMIT,1800
ic_1306,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC1344_C,TIME_LIMIT,1800,TIME_LIMIT,1800
iLF82_1304,TIME_LIMIT,1800,TIME_LIMIT,1800
iECOK1_1307,TIME_LIMIT,1800,TIME_LIMIT,1800
iECS88_1305,TIME_LIMIT,1800,TIME_LIMIT,1800
iECABU_c1320,TIME_LIMIT,1800,TIME_LIMIT,1800
iAPECO1_1312,TIME_LIMIT,1800,TIME_LIMIT,1800
iNRG857_1313,TIME_LIMIT,1800,TIME_LIMIT,1800
iUMN146_1321,TIME_LIMIT,1800,TIME_LIMIT,1800
iECP_1309,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC1356_Bl21DE3,TIME_LIMIT,1800,TIME_LIMIT,1800
iECUMN_1333,TIME_LIMIT,1800,TIME_LIMIT,1800
iB21_1397,TIME_LIMIT,1800,TIME_LIMIT,1800
iBWG_1329,OPTIMAL,1352,TIME_LIMIT,1800
iECD_1391,TIME_LIMIT,1800,TIME_LIMIT,1800
iECDH10B_1368,TIME_LIMIT,1800,TIME_LIMIT,1800
iECSF_1327,TIME_LIMIT,1800,TIME_LIMIT,1800
iEcSMS35_1347,TIME_LIMIT,1800,TIME_LIMIT,1800
iECB_1328,TIME_LIMIT,1800,TIME_LIMIT,1800
iECBD_1354,TIME_LIMIT,1800,TIME_LIMIT,1800
iEcDH1_1363,TIME_LIMIT,1800,TIME_LIMIT,1800
iEcHS_1320,TIME_LIMIT,1800,TIME_LIMIT,1800
iECDH1ME8569_1439,TIME_LIMIT,1800,TIME_LIMIT,1800
iETEC_1333,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC1349_Crooks,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC55989_1330,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC1372_W3110,TIME_LIMIT,1800,TIME_LIMIT,1800
iECO103_1326,TIME_LIMIT,1800,TIME_LIMIT,1800
iY75_1357,TIME_LIMIT,1800,TIME_LIMIT,1800
iECO111_1330,TIME_LIMIT,1800,TIME_LIMIT,1800
iEcE24377_1341,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC1364_W,TIME_LIMIT,1800,TIME_LIMIT,1800
iECIAI1_1343,TIME_LIMIT,1800,TIME_LIMIT,1800
iEcolC_1368,TIME_LIMIT,1800,TIME_LIMIT,1800
iECSE_1348,TIME_LIMIT,1800,TIME_LIMIT,1800
iUMNK88_1353,TIME_LIMIT,1800,TIME_LIMIT,1800
iEKO11_1354,TIME_LIMIT,1800,TIME_LIMIT,1800
iEC1368_DH5a,TIME_LIMIT,1800,TIME_LIMIT,1800
iECO26_1355,TIME_LIMIT,1800,TIME_LIMIT,1800
iECW_1372,TIME_LIMIT,1800,TIME_LIMIT,1800
iWFL_1372,TIME_LIMIT,1800,TIME_LIMIT,1800
iJN1463,TIME_LIMIT,1800,TIME_LIMIT,1800
iYS1720,TIME_LIMIT,1800,TIME_LIMIT,1800
iMM1415,OPTIMAL,1550,TIME_LIMIT,1800
RECON1,OPTIMAL,83,TIME_LIMIT,1800
iCHOv1_DG44,TIME_LIMIT,1800,TIME_LIMIT,1800
iLB1027_lipid,TIME_LIMIT,1800,TIME_LIMIT,1800
iCHOv1,TIME_LIMIT,1800,TIME_LIMIT,1800
Recon3D,TIME_LIMIT,1800,TIME_LIMIT,1800
