organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_ch,objective_value_ch,time_ch,feasibility_ch,termination_ch_mis_5,objective_value_ch_mis_5,time_ch_mis_5,feasibility_ch_mis_5
iAF692,1800,OPTIMAL,0.027,3,true,OPTIMAL,0.027,10,true,OPTIMAL,0.027,10,true
iJR904,1800,OPTIMAL,0.922,93,true,OPTIMAL,0.922,11,true,OPTIMAL,0.922,11,true
iML1515,1800,OPTIMAL,0.877,1692,true,TIME_LIMIT,0.877,1800,true,TIME_LIMIT,0.877,1800,true
e_coli_core,1800,OPTIMAL,0.874,0,true,OPTIMAL,0.874,6,true,OPTIMAL,0.874,5,true
iNF517,1800,OPTIMAL,0.043,11,true,OPTIMAL,0.043,28,true,OPTIMAL,0.043,19,true
iNJ661,1800,OPTIMAL,0.053,181,true,OPTIMAL,0.053,24,true,OPTIMAL,0.053,24,true
iCN900,1800,OPTIMAL,0.0,0,true,OPTIMAL,0.0,5,true,OPTIMAL,0.0,6,true
iAF1260,1800,TIME_LIMIT,0.69,1800,false,OPTIMAL,0.737,207,true,OPTIMAL,0.737,207,true
iEK1008,1800,OPTIMAL,0.058,865,true,OPTIMAL,0.058,36,true,OPTIMAL,0.058,36,true
iJO1366,1800,TIME_LIMIT,0.939,1800,false,OPTIMAL,0.982,993,true,OPTIMAL,0.982,1039,true
iMM904,1800,OPTIMAL,0.288,1465,true,OPTIMAL,0.288,75,true,OPTIMAL,0.288,76,true
iSDY_1059,1800,TIME_LIMIT,0.92,1800,false,OPTIMAL,0.938,201,true,OPTIMAL,0.938,204,true
iSFV_1184,1800,OPTIMAL,0.894,1241,true,OPTIMAL,0.894,1156,true,OPTIMAL,0.894,1155,true
iSF_1195,1800,TIME_LIMIT,0.915,1800,false,OPTIMAL,0.915,313,true,OPTIMAL,0.915,320,true
iS_1188,1800,TIME_LIMIT,0.73,1800,false,OPTIMAL,0.857,225,true,OPTIMAL,0.857,226,true
iSbBS512_1146,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.978,1800,true,TIME_LIMIT,0.978,1800,true
