organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,termination_fba,objective_value_fba,time_fba,feasibility_fba
Hanseniaspora_uvarum,36000,OPTIMAL,0.162,54,true,OTHER_ERROR,0.162,86,false,OPTIMAL,0.16170795551354136,206.0808548927307,false,OPTIMAL,0.1617079732913694,0.10023713111877441,false
yHMPu5000035696_Hanseniaspora_singularis,36000,OPTIMAL,0.153,315,true,OPTIMAL,0.153,61,false,OPTIMAL,0.15330236982904585,84.80302500724792,false,OPTIMAL,0.15332110116005238,0.09460306167602539,false
yHMPu5000034963_Hanseniaspora_clermontiae,36000,OPTIMAL,0.155,112,true,OTHER_ERROR,0.155,0,false,OPTIMAL,0.15513541043286203,316.33561086654663,false,OPTIMAL,0.15515413964453584,0.09655117988586426,false
yHMPu5000035695_Hanseniaspora_pseudoguilliermondii,36000,OPTIMAL,0.153,100,true,OTHER_ERROR,0.153,41,false,OPTIMAL,0.1526199658402591,231.60653686523438,false,OPTIMAL,0.1526361814804161,0.09395098686218262,false
yHMPu5000035684_Kloeckera_hatyaiensis,36000,OPTIMAL,0.153,126,true,OPTIMAL,0.153,37,false,OPTIMAL,0.153435009517878,101.92487502098083,false,OPTIMAL,0.15345329454250622,0.10006594657897949,false
Eremothecium_sinecaudum,36000,OPTIMAL,0.031,13,true,OTHER_ERROR,0.031,0,false,OPTIMAL,0.030657206482713383,576.7791240215302,false,OPTIMAL,0.030659955577724104,0.10194993019104004,false
yHMPu5000035659_Saturnispora_dispora,36000,OPTIMAL,0.03,397,true,OPTIMAL,0.03,1800,false,OPTIMAL,0.030482023410738125,140.02829599380493,false,OPTIMAL,0.030486052213759517,0.08707213401794434,false
Tortispora_caseinolytica,36000,OPTIMAL,0.064,413,true,OTHER_ERROR,0.064,23,false,OPTIMAL,0.06366184016058535,212.86229181289673,false,OPTIMAL,0.06366922561070057,0.08729100227355957,false
Starmerella_bombicola_JCM9596,36000,OPTIMAL,0.065,300,true,OPTIMAL,0.065,11,false,OPTIMAL,0.06529232228679863,116.74240016937256,false,OPTIMAL,0.06529927522797793,0.09171390533447266,false
Eremothecium_gossypii,36000,OPTIMAL,0.059,129,true,OPTIMAL,0.059,59,false,OPTIMAL,0.05885662462446881,242.5034749507904,false,OPTIMAL,0.05886242265722192,0.09004783630371094,false
Ashbya_aceri,36000,OPTIMAL,0.024,69,true,OPTIMAL,0.024,17,false,OPTIMAL,0.02399515959656489,361.6090610027313,false,OPTIMAL,0.02399758608891314,0.0976409912109375,false
